id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance,textbook
91,7,Cross-Generational Exchange,listening to speech differences by generation/gender,〜さえ,even ~ (emphasizing an extreme/minimal case),Noun + さえ,N3,祖母は若い人の言葉さえ知っていた。,My grandmother even knew young people's slang.,Highlights an extreme example to imply that lesser cases are also true; similar to でも but with more emphasis.,"できる日本語 中級 本冊"
92,7,Cross-Generational Exchange,talking about an experience meeting people from other generations,～に反し（て）／～に反する／～に反した,contrary to ~,Noun + に反し（て）／に反する／に反した,N2,予想に反して、若い人も積極的に参加してくれた。,"Contrary to expectations, young people also participated enthusiastically.","States that the outcome contradicts what was expected, planned, or stated.","できる日本語 中級 本冊"
93,7,Cross-Generational Exchange,talking about an experience meeting people from other generations,～うちに（変化に気づく前に）,before ~ (change happens unnoticed),Verb ている-form + うちに,N3,話しているうちに、世代の違いを感じなくなった。,"While we were talking, I stopped noticing the generational gap.","Describes a gradual, often unnoticed change that occurs during the span of an ongoing action.","できる日本語 中級 本冊"
94,7,Cross-Generational Exchange,talking about an experience meeting people from other generations,～からして,judging just from ~ (a telling first example),Noun + からして,N2,話し方からして、彼はとても丁寧な人だとわかった。,"Just from the way he spoke, I could tell he was a very polite person.",Cites one representative detail as immediate evidence for a broader conclusion.,"できる日本語 中級 本冊"
95,8,Conveying Feelings,politely asking a superior for permission,〜のことなんですが,regarding ~ (topic-introducing opener),Noun + のことなんですが,N3,来月の出張のことなんですが、少しよろしいでしょうか。,"Regarding next month's business trip, do you have a moment?",Common polite opener that introduces the topic before making a request or asking a question.,"できる日本語 中級 本冊"
96,8,Conveying Feelings,politely asking a superior for permission,〜(さ)せていただけませんか,would you please allow me to ~? (very polite request for permission),Verb causative て-form + いただけませんか,N3,早退させていただけませんか。,Would you please allow me to leave early?,"Very polite, humble way to request permission to do something, common in formal workplace settings.","できる日本語 中級 本冊"
97,8,Conveying Feelings,politely asking a superior for permission,〜ものですから／〜ものだから／〜もので,"because ~ (explaining/justifying, softening a request)","plain form (な-Adj+な, N+な) + ものですから／ものだから／もので",N3,急用ができたものですから、早退させていただきたいのですが。,"Since something urgent came up, I'd like to leave early, if possible.","Explains a reason in a way that sounds like an excuse or justification, softer and more apologetic than から.","できる日本語 中級 本冊"
98,8,Conveying Feelings,politely asking a superior for permission,〜の代わりに／〜に代わって,instead of ~ / on behalf of ~,Noun + の代わりに；Noun + に代わって,N3,部長の代わりに、私が会議に出ます。,I will attend the meeting in place of the department head.,States a substitution of one person or thing for another; に代わって adds a nuance of acting on someone's behalf.,"できる日本語 中級 本冊"
99,8,Conveying Feelings,learning how to convey feelings in messages,〜おかげで／〜おかげだ,thanks to ~,plain form／Noun + の + おかげで／おかげだ,N4,皆さんのおかげで、無事にプロジェクトを終えられました。,"Thanks to everyone, I was able to finish the project safely.",Expresses gratitude for a positive result caused by someone/something; can be used ironically for a negative result too.,"できる日本語 中級 本冊"
100,8,Conveying Feelings,listening to someone complain,〜くせに,"even though ~ (critical, disapproving contrast)","plain form (な-Adj+な, N+の) + くせに",N3,自分もよく遅れるくせに、人には厳しい。,"Even though he's often late himself, he's strict with others.",Expresses criticism or irritation about a contradiction between someone's own behavior and their attitude toward others; stronger and more judgmental than のに.,"できる日本語 中級 本冊"
101,8,Conveying Feelings,listening to someone complain,〜せいで／〜せいか／〜せいだ,"because of ~ (blame, negative result)","plain form (な-Adj+な, N+の) + せいで／せいか／せいだ",N3,寝不足のせいで、頭が痛い。,"Because of lack of sleep, I have a headache.","Attributes a negative outcome to a cause, often with a nuance of blame; せいか softens it into 'maybe because.'","できる日本語 中級 本冊"
102,8,Conveying Feelings,listening to someone complain,〜にきまっている,surely ~ / it's certain that ~,plain form + にきまっている,N3,あんなに練習したんだから、うまくいくにきまっている。,"Since you practiced that much, it's bound to go well.","Expresses strong personal conviction about an outcome, based on confident reasoning.","できる日本語 中級 本冊"
103,8,Conveying Feelings,listening to someone complain,〜(さ)せる（誘発）,to make (someone feel) ~ (causing an emotional reaction),Verb causative form,N3,彼の話は、いつも周りをいらいらさせる。,His stories always make the people around him irritated.,"Causative used to describe triggering an emotion or reaction in someone else, rather than a physical action.","できる日本語 中級 本冊"
104,8,Conveying Feelings,understanding an encouraging email,〜ことはない,there's no need to ~,Verb dictionary form + ことはない,N3,そんなに落ち込むことはないよ。,There's no need to be so down about it.,"Reassures the listener that a particular action or feeling isn't necessary, softer and more comforting than しなくてもいい.","できる日本語 中級 本冊"
105,8,Conveying Feelings,understanding an encouraging email,〜のことになると／〜のこととなると,when it comes to matters of ~,Noun + のことになると／のこととなると,N2,仕事のことになると、彼はいつも真剣になる。,"When it comes to work matters, he always gets serious.",Marks a specific topic that triggers a notably different attitude or behavior compared to usual.,"できる日本語 中級 本冊"
106,8,Conveying Feelings,understanding an encouraging email,〜にしたら／〜にすれば／〜にしてみたら／〜にしてみれば,from ~'s point of view,Noun (person) + にしたら／にすれば／にしてみたら／にしてみれば,N2,彼にしたら、それは大きな決断だったはずだ。,"From his perspective, that must have been a big decision.","States a judgment or feeling from someone else's standpoint, inviting empathy or perspective-taking.","できる日本語 中級 本冊"
107,8,Conveying Feelings,giving an opinion on how to express feelings,〜たびに,every time ~,Verb dictionary form／Noun + の + たびに,N3,会うたびに、成長を感じます。,"Every time I see him, I feel how much he's grown.",States that a certain result or feeling reliably occurs each time a triggering event happens.,"できる日本語 中級 本冊"
108,8,Conveying Feelings,giving an opinion on how to express feelings,〜ば／〜なら（ば）／〜たら、〜（のに／けど／が／…）,if ~ (then something contrary to reality would happen),conditional form (ば／なら／たら) + 、〜のに／けど／が,N3,もっと早く伝えていれば、誤解は生まれなかったのに。,"If I had told him sooner, the misunderstanding wouldn't have happened.","Combines a conditional with a contrary-to-fact ending like のに, expressing regret about something that didn't happen.","できる日本語 中級 本冊"
109,9,Enjoying Language,reading a review of a poem,〜がたい,hard to ~ (emotionally/psychologically difficult),Verb ます-stem + がたい,N2,この詩の美しさは言葉で表しがたい。,The beauty of this poem is hard to put into words.,"More formal/literary than にくい, typically used with a small set of verbs like 言う、信じる、理解する.","できる日本語 中級 本冊"
110,9,Enjoying Language,reading a review of a poem,〜ように（同様）,like ~ / in the same way as ~,plain form／Noun + の + ように,N4,詩人が感じたように、私も自然の美しさに心を打たれた。,"Just as the poet felt, I too was moved by the beauty of nature.",Draws a comparison of similarity between two situations or ways of being.,"できる日本語 中級 本冊"
111,9,Enjoying Language,reading a review of a poem,〜とともに（変化）,as ~ (co-occurring change over time),plain form／Noun + とともに,N2,年を重ねるとともに、詩の味わい方も変わってきた。,"As I've gotten older, the way I appreciate poetry has also changed.","Describes two changes happening in parallel over time, similar to につれて but slightly more literary.","できる日本語 中級 本冊"
112,9,Enjoying Language,reading a review of a poem,〜をもとに（して）／〜をもとにした,based on ~,Noun + をもとに（して）／をもとにした,N2,この詩は作者の実体験をもとに書かれている。,This poem was written based on the author's actual experiences.,States the source material or basis from which something was created or derived.,"できる日本語 中級 本冊"
113,9,Enjoying Language,listening to an explanation of a wordplay/mnemonic,〜でしょう?／〜だろう?（確認）,"right? (seeking confirmation, casual)",plain form + でしょう?／だろう?,N4,この語呂合わせ、面白いでしょう?,"This wordplay is funny, right?","Casual confirmation-seeking, similar to よね but slightly more assertive that the listener will agree.","できる日本語 中級 本冊"
114,9,Enjoying Language,listening to an explanation of a wordplay/mnemonic,〜っけ,was it ~? (trying to recall),plain form + っけ,N3,この言葉、どういう意味だったっけ。,What did this word mean again?,"Casual particle used when trying to recall forgotten information, often spoken half to oneself.","できる日本語 中級 本冊"
115,9,Enjoying Language,listening to an explanation of a wordplay/mnemonic,〜というわけだ／〜わけだ,so that means ~ (logical conclusion),plain form + というわけだ／わけだ,N3,つまり、数字の語呂合わせというわけですね。,"So in other words, it's a play on numbers, right?",States a conclusion that logically follows from what was just explained; useful when summarizing understanding.,"できる日本語 中級 本冊"
116,9,Enjoying Language,learning onomatopoeia and mimetic words,〜っこない,there's no way ~ (strong casual denial),Verb ます-stem + っこない,N2,こんな難しい言葉、すぐには覚えられっこない。,There's no way I can memorize such a difficult word right away.,"Very casual, emphatic denial of possibility, typically used in informal speech among friends.","できる日本語 中級 本冊"
117,9,Enjoying Language,learning onomatopoeia and mimetic words,〜もん／〜んだもん,because ~! (childish/casual justification),plain form + もん／んだもん,N3,難しいんだもん、覚えられないよ。,"It's just too hard, so I can't remember it!","Very casual, often slightly whiny justification, common among younger speakers or close friends.","できる日本語 中級 本冊"
118,9,Enjoying Language,talking about the joys and difficulties of using a foreign language,〜ほど／〜くらい／〜ぐらい（程度）,to the extent that ~,plain form + ほど／くらい／ぐらい,N3,涙が出るほど嬉しかったです。,I was so happy I nearly cried.,Illustrates the degree of something by comparing it to a vivid example.,"できる日本語 中級 本冊"
119,9,Enjoying Language,talking about the joys and difficulties of using a foreign language,〜ところだった,was about to ~ (but didn't) / nearly ~,Verb dictionary form + ところだった,N3,間違えて、失礼な言い方をするところだった。,I nearly made a mistake and used a rude way of speaking.,Describes something that almost happened but was narrowly avoided.,"できる日本語 中級 本冊"
120,9,Enjoying Language,talking about the joys and difficulties of using a foreign language,〜てたまらない,unbearably ~ / can't stand how ~,い-Adj/な-Adj stem + くて／で + たまらない,N2,新しい言葉を覚えるのが楽しくてたまらない。,Learning new words is so much fun I can't stand it (in a good way).,"Expresses an intense, hard-to-control feeling or physical sensation.","できる日本語 中級 本冊"
121,9,Enjoying Language,asking and understanding questions about everyday Japanese expressions,〜わけではない／〜というわけではない,it's not that ~ / it doesn't necessarily mean ~,plain form + わけではない／というわけではない,N3,難しい言葉が全部わからないわけではないんです。,It's not that I don't understand any of the difficult words at all.,"Softens a broad negative statement by clarifying that it's a partial, not total, negation.","できる日本語 中級 本冊"
122,9,Enjoying Language,asking and understanding questions about everyday Japanese expressions,〜くらい／〜ぐらい（軽視・最低限）,just ~ / at least ~ (minimizing),Noun／Verb dictionary form + くらい／ぐらい,N4,そのくらいの表現なら知っています。,I at least know an expression like that.,"Downplays the scale or difficulty of something, implying it's a minor or minimum-level case.","できる日本語 中級 本冊"
123,10,Traveling Japan,reading a travel pamphlet to choose a tour,〜といったら,when it comes to ~ / speaking of ~ (with emphasis),Noun + といったら,N2,この地方の紅葉といったら、日本一の美しさです。,"When it comes to this region's autumn leaves, it's the most beautiful in Japan.",Similar to といえば but carries stronger emphasis or emotional emphasis about the topic.,"できる日本語 中級 本冊"
124,10,Traveling Japan,reading a travel pamphlet to choose a tour,とても〜ない,just cannot ~ (emphatic impossibility),とても + Verb ない-form,N3,その景色は、とても言葉では表せない。,That scenery just can't be described in words.,"Emphasizes that something is completely impossible, stronger than a plain negative.","できる日本語 中級 本冊"
125,10,Traveling Japan,reading a travel pamphlet to choose a tour,〜はもちろん／〜はもとより,not to mention ~ / needless to say ~,Noun + はもちろん／はもとより,N2,景色はもちろん、食べ物もこのツアーの魅力です。,"Not to mention the scenery, the food is also a highlight of this tour.","Introduces an obvious point before adding further, sometimes more notable, information.","できる日本語 中級 本冊"
126,10,Traveling Japan,listening to a tour guide's explanation,〜（さ）せていただきます,"allow me to ~ (humble, formal)",Verb causative て-form + いただきます,N3,本日はガイドを務めさせていただきます。,I will be your guide today.,"Very polite, humble self-introduction pattern common among tour guides and service staff.","できる日本語 中級 本冊"
127,10,Traveling Japan,listening to a tour guide's explanation,ご・お〜いたします,(I) will do ~ (humble),ご／お + Verb ます-stem + いたします,N3,こちらでご案内いたします。,I will guide you from here.,"Humble equivalent of します, lowering the speaker's action to show respect toward the listener.","できる日本語 中級 本冊"
128,10,Traveling Japan,calling to inquire about a lost item,〜つもりだ,I meant to ~ (stating one's intention/memory of an action),Verb dictionary form + つもりだ,N4,かばんはここに置いたつもりだったんですが。,I thought I'd put my bag right here.,"Here つもりだ recalls a past intention or belief about an action, useful when something didn't turn out as expected.","できる日本語 中級 本冊"
129,10,Traveling Japan,calling to inquire about a lost item,〜ように思う,I feel like ~ / it seems to me that ~,plain form + ように思う,N3,電車の中に忘れたように思います。,I have a feeling I left it on the train.,"Softly states a tentative personal impression or recollection, less certain than と思う.","できる日本語 中級 本冊"
130,10,Traveling Japan,listening to in-train announcements,〜ております,"is ~ (humble/formal, continuous state)",Verb て-form + おります,N3,この電車は各駅に停車しております。,This train is stopping at every station.,"Humble/formal register of ています, standard in public announcements and customer service.","できる日本語 中級 本冊"
131,10,Traveling Japan,listening to in-train announcements,〜かねます,cannot ~ / am unable to ~ (formal refusal),Verb ます-stem + かねます,N2,その質問にはお答えかねます。,I'm afraid I'm unable to answer that question.,"Formal, indirect way of expressing inability or refusal, softer-sounding than できません.","できる日本語 中級 本冊"
132,10,Traveling Japan,sharing a memorable trip,〜ことに（は）,to my ~ (emotional reaction stated before the fact),い-Adj／な-Adj + ことに（は）,N2,驚いたことに、山の上から海が見えました。,"To my surprise, I could see the ocean from the top of the mountain.",Frontloads the speaker's emotional reaction before describing the fact that caused it.,"できる日本語 中級 本冊"
133,10,Traveling Japan,sharing a memorable trip,〜だけあって／〜だけのことはある,just as one would expect from ~ / worthy of ~,plain form／Noun + だけあって／だけのことはある,N2,有名な観光地だけあって、人が多かった。,"Being a famous tourist spot, there were a lot of people, as expected.",Praises or explains a result as fitting and deserved given the stated reputation or effort.,"できる日本語 中級 本冊"
134,10,Traveling Japan,sharing a memorable trip,〜ついでに,"while doing ~, also ~ / taking the opportunity to also ~",Verb dictionary/た-form／Noun + の + ついでに,N3,旅行のついでに、親戚の家にも寄りました。,"While I was on the trip, I also stopped by my relative's house.","Describes doing a secondary, convenient action while carrying out the main one.","できる日本語 中級 本冊"
135,11,Lifestyles,reporting survey results,〜ということだ／〜とのことだ,I hear that / it is said that (reporting from a source),plain form + ということだ／とのことだ,N3,天気予報によると、明日は雨が降るということだ。,"According to the forecast, it'll rain tomorrow.",とのことだ is slightly more formal/written. (Note: 〜ということだ can also mean 'in other words / this means.'),"できる日本語 中級 本冊"
136,11,Lifestyles,reporting survey results,〜に対して,toward / in contrast to,Noun + に対して,N3,この問題に対して、いろいろな意見がある。,There are various opinions toward this problem.,"Two senses: a target of action/feeling, or a contrast between two things.","できる日本語 中級 本冊"
137,11,Lifestyles,reporting survey results,〜ものの／〜とはいうものの,"although; even though (X is true, but the expected Y doesn't follow)","plain form + ものの（なAdj+な/である, Noun+である）",N2,免許は取ったものの、車がないので運転していない。,"Although I got my license, I don't drive since I have no car.",Written/formal; the second clause counters the expectation set up by the first.,"できる日本語 中級 本冊"
138,11,Lifestyles,reporting survey results,〜といっても,"although I say X, the reality is more modest/different",plain form / Noun + といっても,N3,料理ができるといっても、卵焼きぐらいだ。,"Although I say I can cook, it's only about omelettes.",Corrects an overestimation the listener might form.,"できる日本語 中級 本冊"
139,11,Lifestyles,describing lifestyle trends,〜とは〜ことだ／〜とは〜ということだ,X means Y (defining a term),Noun + とは + explanation + ことだ／ということだ,N2,「敷金」とは、部屋を借りるときに預けるお金のことだ。,'Shikikin' refers to money you deposit when renting a room.,Used to define or explain a term.,"できる日本語 中級 本冊"
140,11,Lifestyles,describing lifestyle trends,〜にしても／〜にしろ／〜にせよ,even if / even supposing; whether (concession),plain form / Noun + にしても／にしろ／にせよ,N2,行くにしても、準備が必要だ。,"Even if we go, preparation is needed.",にしろ／にせよ are more formal/written than にしても.,"できる日本語 中級 本冊"
141,11,Lifestyles,describing lifestyle trends,〜つつある,to be in the process of ~ing (a gradual trend),Verb ますstem + つつある,N2,日本の人口は減りつつある。,Japan's population is gradually decreasing.,Written; stresses an ongoing movement in one direction.,"できる日本語 中級 本冊"
142,11,Lifestyles,describing lifestyle trends,〜結果,"as a result of (doing X), Y",Verb た / Noun の + 結果,N2,話し合った結果、計画を変更した。,"As a result of discussing it, we changed the plan.",The outcome of a deliberate action or process.,"できる日本語 中級 本冊"
143,11,Lifestyles,cancelling plans,〜づらい,hard to do (often from reluctance/discomfort),Verb ますstem + づらい,N3,この字は小さくて読みづらい。,This text is small and hard to read.,Cf. 〜にくい (neutral difficulty); 〜づらい often implies the speaker feels reluctant.,"できる日本語 中級 本冊"
144,11,Lifestyles,cancelling plans,〜んだから／〜のだから,"since X is obviously the case, naturally Y",plain form + んだから（なAdj/Noun+な）,N3,もう大人なんだから、自分で決めなさい。,"Since you're an adult now, decide for yourself.","X is presented as a known/obvious reason, often with emotion (urging, reproach).","できる日本語 中級 本冊"
145,11,Lifestyles,stating your view,〜からすると／〜からすれば／〜から見ると／〜から見れば,judging from / from the standpoint of X,Noun + からすると／から見ると,N2,彼の表情からすると、結果はよくなかったようだ。,"Judging from his expression, the result wasn't good.",Draws an inference from evidence or a viewpoint.,"できる日本語 中級 本冊"
146,11,Lifestyles,stating your view,〜というより（も）,"rather than X, it's more like Y",plain form / Noun + というより,N3,彼は厳しいというより、冷たい。,"Rather than strict, he's cold.",Picks a more accurate description over a first one.,"できる日本語 中級 本冊"
147,11,Lifestyles,stating your view,〜のではないでしょうか／〜んじゃないでしょうか,isn't it perhaps the case that ~? (softened opinion),plain form + のではないでしょうか（なAdj/Noun+な）,N3,その考え方は少し古いのではないでしょうか。,Isn't that way of thinking a bit old-fashioned?,Politely and indirectly states one's own opinion.,"できる日本語 中級 本冊"
148,12,Health of mind & body,asking for advice when down,〜にしても〜にしても／〜にしろ〜にしろ／〜にせよ〜にせよ,whether X or Y (in either case the same holds),Noun/plain + にしても + Noun/plain + にしても,N2,行くにしても行かないにしても、連絡してください。,"Whether you go or not, please let me know.",Paired form listing two contrasting cases.,"できる日本語 中級 本冊"
149,12,Health of mind & body,asking for advice when down,〜ばかりだ／〜一方だ,to keep ~ing (steady change in one direction),Verb dictionary form + ばかりだ／一方だ,N2,病気は悪くなる一方だ。,The illness just keeps getting worse.,一方だ is neutral/written; ばかりだ often carries a negative tone.,"できる日本語 中級 本冊"
150,12,Health of mind & body,asking for advice when down,〜気味,a touch of / tending toward,Verb ますstem / Noun + 気味,N2,最近、疲れ気味だ。,Lately I've been a bit tired.,Usually a slightly negative/undesirable tendency.,"できる日本語 中級 本冊"
151,12,Health of mind & body,talking about exercise,〜からといって,"just because X, it doesn't (necessarily) mean Y",plain form + からといって,N2,お金があるからといって、幸せとは限らない。,Just because you have money doesn't mean you're happy.,"Often paired with a negative ending (とは限らない, わけではない).","できる日本語 中級 本冊"
152,12,Health of mind & body,talking about exercise,〜に応じ（て）／〜に応じた,in accordance with / depending on X,Noun + に応じて／に応じた + Noun,N2,収入に応じて税金が決まる。,Tax is determined according to income.,Y varies to match X.,"できる日本語 中級 本冊"
153,12,Health of mind & body,talking about exercise,〜さえ〜ば,"if only X, then (that's enough)",Noun + さえ + conditional ば（Verbstem + さえすれば）,N2,薬さえ飲めば、すぐに治る。,"If you just take the medicine, you'll recover soon.",X is the single sufficient condition.,"できる日本語 中級 本冊"
154,12,Health of mind & body,reading about sleep,〜に対して／〜に対する（対象）,with respect to / toward (an object of action/feeling),Noun + に対して／に対する + Noun,N3,この問題に対する関心が高まっている。,Interest regarding this problem is rising.,Here the 'object/target' sense (vs. the contrast sense).,"できる日本語 中級 本冊"
155,12,Health of mind & body,reading about sleep,〜やら〜やら,what with X and Y (a jumble of things),Noun/plain + やら + Noun/plain + やら,N2,引っ越しで、荷造りやら手続きやらで忙しい。,"With packing and paperwork and all, I'm busy with the move.",Lists representative (often troublesome) items.,"できる日本語 中級 本冊"
156,12,Health of mind & body,responding with opinion,〜なんて／〜なんか／〜など,"things like / such a thing as (surprise, disdain, humility)",Noun/plain + なんて／なんか／など,N3,あきらめるなんて、もったいない。,Giving up — what a waste.,Adds emotional color. なんか is colloquial; など more formal.,"できる日本語 中級 本冊"
157,12,Health of mind & body,responding with opinion,〜として〜ない,not even one ~ (total negation),一+counter + として + negative,N2,一人として反対する人はいなかった。,There wasn't a single person who opposed.,Emphatic complete negation.,"できる日本語 中級 本冊"
158,12,Health of mind & body,responding with opinion,〜というものだ,that's what you'd call ~; that's simply ~,plain form / Noun + というものだ,N2,困っている人を助けるのが人情というものだ。,Helping people in trouble is simply human kindness.,States an evaluation/conclusion as a general truth.,"できる日本語 中級 本冊"
159,12,Health of mind & body,responding with opinion,〜とは限らない,it's not necessarily the case that ~,plain form + とは限らない,N2,高いものがいいとは限らない。,Expensive things aren't necessarily good.,Denies a generalization; often paired with からといって.,"できる日本語 中級 本冊"
160,13,Connecting through trends,introducing what you're into,〜とともに（一緒に）,together with / along with,Noun + とともに,N2,家族とともに新年を迎えた。,I welcomed the new year together with my family.,Here the 'accompaniment' sense.,"できる日本語 中級 本冊"
161,13,Connecting through trends,introducing what you're into,〜しかない,have no choice but to / there's only ~,Verb dictionary form / Noun + しかない,N3,電車が止まったので、歩くしかない。,"The train stopped, so there's no choice but to walk.",Resignation to the only available option.,"できる日本語 中級 本冊"
162,13,Connecting through trends,introducing what you're into,〜ないではいられない／〜ずにはいられない,can't help ~ing,Verb ない+ではいられない／Verb ないstem+ずにはいられない（する→せずに）,N2,あの映画を見ると、泣かずにはいられない。,"When I watch that film, I can't help crying.",An irrepressible feeling or urge.,"できる日本語 中級 本冊"
163,13,Connecting through trends,summarizing a work,〜一方（で）,"on one hand ~, on the other; while ~",plain form + 一方（で）,N2,彼は厳しい一方で、優しいところもある。,"While he's strict, he also has a kind side.",Presents two contrasting aspects.,"できる日本語 中級 本冊"
164,13,Connecting through trends,summarizing a work,〜（さ）せられる,to be made to do; to be moved/struck (spontaneous),Verb causative + られる（食べさせられる）,N3,この本にはいろいろ考えさせられた。,This book really made me think.,"Causative-passive 'made to,' also 'it makes you (feel)'.","できる日本語 中級 本冊"
165,13,Connecting through trends,how things spread,〜のみならず,not only X (but also Y),Noun / plain form + のみならず,N2,彼は英語のみならず、中国語も話せる。,He can speak not only English but also Chinese.,Formal/written equivalent of だけでなく.,"できる日本語 中級 本冊"
166,13,Connecting through trends,how things spread,〜と同時に,at the same time as; as well as,Verb dictionary / Noun + と同時に,N2,ベルが鳴ると同時に、生徒が教室を出た。,"The moment the bell rang, the students left the classroom.","Simultaneity, or 'and also' in writing.","できる日本語 中級 本冊"
167,13,Connecting through trends,how things spread,〜によって／〜により／〜による,by means of / due to / depending on / by (agent),Noun + によって,N3,インターネットによって生活が便利になった。,Life became convenient thanks to the internet.,"Multiple senses: cause, means, agent, variation.","できる日本語 中級 本冊"
168,13,Connecting through trends,requesting a repair,〜だけに,precisely because X (so all the more Y),plain form / Noun + だけに,N2,期待していただけに、結果にがっかりした。,"Precisely because I'd had hopes, I was all the more disappointed.",The result is heightened by X.,"できる日本語 中級 本冊"
169,13,Connecting through trends,requesting a repair,〜としても,even if / even supposing X (Y still holds),plain form / Noun + としても,N3,雨が降ったとしても、試合は中止しない。,"Even if it rains, the match won't be cancelled.",Hypothetical concession.,"できる日本語 中級 本冊"
170,13,Connecting through trends,on-site event report,〜に先立って／〜に先立ち,prior to / in advance of,Noun / Verb dictionary + に先立って,N2,開店に先立って、関係者を招いた。,"Prior to the opening, related parties were invited.",Formal; for events that have preparation beforehand.,"できる日本語 中級 本冊"
171,13,Connecting through trends,on-site event report,どちらかというと／どちらかといえば,if anything / rather,set phrase + statement,N3,どちらかというと、私は犬より猫が好きだ。,"If anything, I prefer cats to dogs.",Softly indicates a leaning when the difference is slight.,"できる日本語 中級 本冊"
172,14,Culture shock,reacting to customs,〜ばかりでなく／〜ばかりか,"not only X (but also Y, often more extreme)",plain form / Noun + ばかりでなく／ばかりか,N2,彼は遅刻したばかりか、謝りもしなかった。,"Not only was he late, he didn't even apologize.","ばかりか often adds an unexpected, stronger second item.","できる日本語 中級 本冊"
173,14,Culture shock,reacting to customs,〜（か）と思うと／〜（か）と思ったら,"no sooner ~ than; just when I thought X, suddenly Y",Verb た + （か）と思うと,N2,赤ちゃんは泣いていたかと思うと、もう眠っていた。,"Just when the baby was crying, it was already asleep.","Two events in quick, surprising succession.","できる日本語 中級 本冊"
174,14,Culture shock,reacting to customs,〜てならない,can't help feeling ~; extremely (uncontrollable),Verb て / Adj くて / なAdjで + ならない,N2,試験の結果が気になってならない。,I can't stop worrying about the exam results.,"Spontaneous, strong feelings/sensations beyond control.","できる日本語 中級 本冊"
175,14,Culture shock,handling a hard request,〜ことは〜が,"it's true that X, but ~ (qualified admission)",Verb/Adj + ことは + same word + が,N3,行くことは行くが、少し遅れるかもしれない。,"I will go, but I might be a little late.",Admits X partially while adding a reservation.,"できる日本語 中級 本冊"
176,14,Culture shock,handling a hard request,〜によっては,"depending on the case, (sometimes Y)",Noun + によっては,N3,人によっては、辛い料理が苦手だ。,"Depending on the person, some can't handle spicy food.",Singles out certain cases among possibilities.,"できる日本語 中級 本冊"
177,14,Culture shock,explaining a graph,〜から（に）は,"now that / since X (then, with resolve, Y)",plain form + からには,N2,約束したからには、必ず守る。,"Now that I've promised, I'll definitely keep it.",Strong resolve/obligation follows from X.,"できる日本語 中級 本冊"
178,14,Culture shock,explaining a graph,〜どころか,far from X; let alone X,plain form / Noun + どころか,N2,漢字どころか、ひらがなも読めない。,"Far from kanji, he can't even read hiragana.",Negates X and presents a stronger contrary fact.,"できる日本語 中級 本冊"
179,14,Culture shock,explaining a graph,〜得る／〜得ない,can / could possibly ~; cannot possibly ~,Verb ますstem + 得る（える・うる）／得ない,N2,そんなことは起こり得ない。,Such a thing couldn't possibly happen.,Possibility in principle; formal. 得る is read える or うる.,"できる日本語 中級 本冊"
180,14,Culture shock,explaining a graph,〜に限らず,not limited to X (but more broadly),Noun + に限らず,N2,子供に限らず、大人もこのゲームを楽しめる。,Not just children — adults can enjoy this game too.,Expands beyond a single category.,"できる日本語 中級 本冊"
181,14,Culture shock,describing differences,〜げ,looking ~ / seeming ~ (appearance of a feeling),Adj/なAdj stem + げ,N2,彼女は何か言いたげな顔をしていた。,She had a look as if she wanted to say something.,Outward appearance of an inner state.,"できる日本語 中級 本冊"
182,14,Culture shock,describing differences,〜たとたん（に）,the moment / just as soon as ~,Verb た + とたん（に）,N2,立ち上がったとたんに、めまいがした。,"The moment I stood up, I felt dizzy.","Second event happens instantly, often unexpectedly.","できる日本語 中級 本冊"
183,14,Culture shock,describing differences,なんて〜んだろう／なんて〜だろう,how ~ ! (exclamation),なんて + Adj/plain + んだろう,N3,なんてきれいな景色なんだろう。,How beautiful this scenery is!,Strong exclamation of surprise/emotion.,"できる日本語 中級 本冊"
184,14,Culture shock,describing differences,〜以来,ever since ~,Verb て / Noun + 以来,N2,日本に来て以来、彼に会っていない。,I haven't seen him ever since I came to Japan.,A state continuing from a past point up to now.,"できる日本語 中級 本冊"
185,15,Living in the information society,how you use media,〜といった,such ~ as / ~ and the like (examples),Noun や Noun + といった + Noun,N2,サッカーや野球といったスポーツが人気だ。,Sports such as soccer and baseball are popular.,Lists representative examples of a category.,"できる日本語 中級 本冊"
186,15,Living in the information society,how you use media,〜を通して／〜を通じて,through / by way of / throughout,Noun + を通して／を通じて,N2,友人を通して彼と知り合った。,I got to know him through a friend.,"A medium/intermediary, or 'throughout (a period).'","できる日本語 中級 本冊"
187,15,Living in the information society,downsides of social media,〜に関して／〜に関する,concerning / regarding,Noun + に関して／に関する + Noun,N2,事故に関して詳しい情報はまだない。,There's still no detailed information regarding the accident.,Formal equivalent of について.,"できる日本語 中級 本冊"
188,15,Living in the information society,downsides of social media,〜ばかりに,simply because X (a bad result followed),"plain form + ばかりに（なAdj+な/である, Noun+である）",N2,一言多かったばかりに、けんかになった。,"Just because I said one word too many, it turned into a fight.",X is the sole cause of an undesirable result; conveys regret.,"できる日本語 中級 本冊"
189,15,Living in the information society,downsides of social media,〜か〜ないかのうちに,no sooner ~ than / almost the instant ~,Verb dictionary + か + Verb ない + かのうちに,N2,ベルが鳴るか鳴らないかのうちに、教室を出た。,"Almost before the bell finished ringing, he left the classroom.",Two events nearly simultaneous.,"できる日本語 中級 本冊"
