vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,page,textbook
取り入れる,とりいれる,to incorporate,to adopt / incorporate / take in,新（あたら）しい習慣（しゅうかん）を取（と）り入（い）れる。,I adopt a new habit.,,12,24,できる日本語 中級 本冊
維持する,いじする,to maintain,,健康（けんこう）を維持（いじ）するのは難（むずか）しい。,Maintaining good health is hard.,,12,24,できる日本語 中級 本冊
前半,ぜんはん,early (first half),the first half / early part,試合（しあい）の前半（ぜんはん）で点（てん）を取（と）った。,We scored in the first half of the match.,,12,24,できる日本語 中級 本冊
ほぼ,ほぼ,almost,almost / nearly,準備（じゅんび）はほぼ終（お）わった。,The preparations are almost done.,,12,24,できる日本語 中級 本冊
レベル,レベル,level,,,,,12,24,できる日本語 中級 本冊
ところで,ところで,incidentally,by the way / incidentally (changing topic),ところで、明日（あした）は暇（ひま）ですか。,"By the way, are you free tomorrow?",,12,24,できる日本語 中級 本冊
激しい,はげしい,vigorous,intense / violent / fierce (gloss 'vigorous' is narrow),激（はげ）しい雨（あめ）が降（ふ）り続（つづ）く。,Violent rain keeps falling.,,12,24,できる日本語 中級 本冊
ストレッチする,ストレッチする,to stretch,,運動（うんどう）の前（まえ）にストレッチする。,I stretch before exercising.,,12,24,できる日本語 中級 本冊
抜く,ぬく,to miss,to skip / leave out; to pull out (gloss 'to miss' is narrow),忙（いそが）しくて朝食（ちょうしょく）を抜（ぬ）いた。,I was busy and skipped breakfast.,,12,24,できる日本語 中級 本冊
真／真っ～,ま／まっ～,the middle of / completely,,,,（真冬／真っ白）the middle of winter / completely white,12,24,できる日本語 中級 本冊
トレーナー,トレーナー,trainer,,,,,12,24,できる日本語 中級 本冊
目的,もくてき,goal,purpose / objective / aim,旅行（りょこう）の目的（もくてき）は何（なん）ですか。,What's the purpose of your trip?,,12,24,できる日本語 中級 本冊
提案する,ていあんする,to propose,,会議（かいぎ）で新（あたら）しい計画（けいかく）を提案（ていあん）した。,I proposed a new plan at the meeting.,,12,24,できる日本語 中級 本冊
当店,とうてん,this shop (restaurant),,,,,12,24,できる日本語 中級 本冊
レシピ,レシピ,recipe,,,,,12,24,できる日本語 中級 本冊
取れる,とれる,to provide a balance,,,,（バランスが取れる）to provide a balance,12,24,できる日本語 中級 本冊
満足する,まんぞくする,to be satisfied,,今回（こんかい）の結果（けっか）に満足（まんぞく）している。,I'm satisfied with this result.,,12,24,できる日本語 中級 本冊
不満（な）,ふまん,dissatisfaction,dissatisfaction / discontent,給料（きゅうりょう）に不満（ふまん）がある。,I'm dissatisfied with my salary.,,12,24,できる日本語 中級 本冊
目覚め,めざめ,"wake-up, awakening",waking up; the moment of awakening,今朝（けさ）は目覚（めざ）めがよかった。,I woke up feeling refreshed this morning.,,12,24,できる日本語 中級 本冊
抱える,かかえる,to have (a problem/worry),"to be burdened with / hold (a problem, worry)",彼（かれ）は大（おお）きな悩（なや）みを抱（かか）えている。,He's carrying a big worry.,,12,24,できる日本語 中級 本冊
プレッシャー,プレッシャー,pressure,,試合（しあい）の前（まえ）はプレッシャーを感（かん）じる。,I feel pressure before a match.,,12,24,できる日本語 中級 本冊
不安（な）,ふあん,unease,anxiety / uneasiness / worry,将来（しょうらい）のことが不安（ふあん）だ。,I'm anxious about the future.,,12,24,できる日本語 中級 本冊
寝付き,ねつき,falling asleep,how easily one falls asleep,最近（さいきん）寝付（ねつ）きが悪（わる）い。,I've been having trouble falling asleep lately.,,12,24,できる日本語 中級 本冊
主婦,しゅふ,housewife,,,,,12,24,できる日本語 中級 本冊
追われる,おわれる,to struggle,"to be pressed/driven by (work, time, etc.)",毎日（まいにち）仕事（しごと）に追（お）われている。,I'm swamped with work every day.,（育児に追われる）to struggle (to struggle to look after children),12,24,できる日本語 中級 本冊
寝不足,ねぶそく,lack of sleep,,寝不足（ねぶそく）で頭（あたま）が痛（いた）い。,My head hurts from lack of sleep.,,12,24,できる日本語 中級 本冊
ポイント,ポイント,important point,,,,,12,24,できる日本語 中級 本冊
倍数,ばいすう,multiple,,,,,12,24,できる日本語 中級 本冊
というのは,というのは,this means,that is to say / the reason being,今日（きょう）は休（やす）む。というのは、熱（ねつ）があるからだ。,"I'll rest today — that is, because I have a fever.",,12,24,できる日本語 中級 本冊
脳,のう,brain,,,,,12,25,できる日本語 中級 本冊
交互に,こうごに,alternately,alternately / by turns,左右（さゆう）の足（あし）を交互（こうご）に動（うご）かす。,Move your left and right legs alternately.,,12,25,できる日本語 中級 本冊
交代する,こうたいする,to alternate,to take turns / switch (shifts),長距離（ちょうきょり）なので運転（うんてん）を交代（こうたい）した。,"It was a long drive, so we took turns at the wheel.",,12,25,できる日本語 中級 本冊
覚ます,さます,to wake up,to wake (oneself) up; to sober up,コーヒーを飲（の）んで目（め）を覚（さ）ます。,I drink coffee to wake myself up.,,12,25,できる日本語 中級 本冊
つく,つく,to fall asleep,,,,（眠りにつく）to fall asleep,12,25,できる日本語 中級 本冊
上がる,あがる,to raise,,,,（声が上がる）to raise (to raise one's voice),12,25,できる日本語 中級 本冊
愛情,あいじょう,feelings of love,affection / love,親（おや）は子（こ）に愛情（あいじょう）を注（そそ）ぐ。,Parents pour affection on their children.,,12,25,できる日本語 中級 本冊
投書欄,とうしょらん,letters page,,,,,12,25,できる日本語 中級 本冊
投書する,とうしょする,"to write a letter (to a newspaper, etc.)",,その記事（きじ）について新聞（しんぶん）に投書（とうしょ）した。,I wrote a letter to the paper about that article.,,12,25,できる日本語 中級 本冊
ブーム,ブーム,craze,a boom / craze / fad,数年前（すうねんまえ）に健康（けんこう）ブームが起（お）きた。,A health craze took off a few years ago.,,12,25,できる日本語 中級 本冊
かえって,かえって,end up,on the contrary / rather (against expectation; gloss 'end up' is off),急（いそ）いだら、かえって時間（じかん）がかかった。,"Hurrying actually took more time, if anything.",,12,25,できる日本語 中級 本冊
精神的（な）,せいしんてき,mentally,mental / psychological,試験前（しけんまえ）は精神的（せいしんてき）に疲（つか）れる。,I get mentally tired before exams.,,12,25,できる日本語 中級 本冊
集中的（な）,しゅうちゅうてき,concentrated,intensive / concentrated,試験前（しけんまえ）に集中的（しゅうちゅうてき）に勉強（べんきょう）する。,I study intensively before the exam.,,12,25,できる日本語 中級 本冊
癌,がん,cancer,,,,,12,25,できる日本語 中級 本冊
他人,たにん,other people,other people / strangers / outsiders,他人（たにん）に迷惑（めいわく）をかけたくない。,I don't want to trouble others.,,12,25,できる日本語 中級 本冊
愛する,あいする,to love,,彼（かれ）は家族（かぞく）を心（こころ）から愛（あい）している。,He loves his family from the heart.,,12,25,できる日本語 中級 本冊
医師,いし,doctor,physician / doctor (formal),医師（いし）の診断（しんだん）を受（う）ける。,I get a doctor's diagnosis.,,12,25,できる日本語 中級 本冊
国家試験,こっかしけん,national exam,,看護師（かんごし）の国家試験（こっかしけん）に合格（ごうかく）した。,I passed the national nursing exam.,,12,25,できる日本語 中級 本冊
かいがある,かいがある,to be worth doing,to be worthwhile / pay off,毎日（まいにち）練習（れんしゅう）したかいがあった。,All that daily practice paid off.,,12,25,できる日本語 中級 本冊
必ずしも,かならずしも,not necessarily,not necessarily (with a negative),高（たか）い物（もの）が必（かなら）ずしもいいとは限（かぎ）らない。,Expensive things aren't necessarily good.,,12,25,できる日本語 中級 本冊
食卓,しょくたく,dining table,the dinner table / family table,家族（かぞく）で食卓（しょくたく）を囲（かこ）む。,The family gathers around the table.,,13,26,できる日本語 中級 本冊
略称,りゃくしょう,abbreviation,an abbreviation / short name,「国連（こくれん）」は国際連合（こくさいれんごう）の略称（りゃくしょう）だ。,'Kokuren' is short for the United Nations.,,13,26,できる日本語 中級 本冊
食堂,しょくどう,cafeteria,,,,,13,26,できる日本語 中級 本冊
健康的（な）,けんこうてき,healthy,healthy / wholesome (lifestyle or looks),健康的（けんこうてき）な食事（しょくじ）を心（こころ）がける。,I try to eat a healthy diet.,,13,26,できる日本語 中級 本冊
提供する,ていきょうする,to provide,,この店（みせ）は安（やす）くて新鮮（しんせん）な魚（さかな）を提供（ていきょう）する。,"This shop serves cheap, fresh fish.",,13,26,できる日本語 中級 本冊
～食,～しょく,meal,,,,（１食）meal (one meal),13,26,できる日本語 中級 本冊
当たる,あたる,to be equivalent to,to correspond to / fall on; to hit,今年（ことし）は記念日（きねんび）が日曜（にちよう）に当（あ）たる。,This year the anniversary falls on a Sunday.,,13,26,できる日本語 中級 本冊
上乗せする,うわのせする,to add on,to add on top / tack on (an extra amount),料金（りょうきん）に手数料（てすうりょう）を上乗（うわの）せする。,They add a service fee on top of the charge.,,13,26,できる日本語 中級 本冊
NPO,NPO,NPO (Non-profit Organization),,,,,13,26,できる日本語 中級 本冊
給食,きゅうしょく,"lunch (provided at school/company/hospital, etc.)",,小学校（しょうがっこう）の給食（きゅうしょく）が好（す）きだった。,I loved the school lunches in elementary school.,,13,26,できる日本語 中級 本冊
仕組み,しくみ,system,mechanism / structure / how something works (gloss 'system' is vague),会社（かいしゃ）の仕組（しく）みを一（ひと）から学（まな）ぶ。,I learn how the company works from scratch.,,13,26,できる日本語 中級 本冊
空間,くうかん,space,space / room (a physical area),この部屋（へや）は広（ひろ）い空間（くうかん）がある。,This room has a lot of open space.,,13,26,できる日本語 中級 本冊
分け合う,わけあう,to share,to share out / divide among each other,少（すく）ない食料（しょくりょう）を分（わ）け合（あ）う。,We share what little food there is.,,13,26,できる日本語 中級 本冊
先進国,せんしんこく,developed countries,,先進国（せんしんこく）にも貧困（ひんこん）の問題（もんだい）がある。,Even developed countries have poverty problems.,,13,26,できる日本語 中級 本冊
億,おく,100 million,,,,,13,26,できる日本語 中級 本冊
生活習慣病,せいかつしゅうかんびょう,lifestyle disease,,食生活（しょくせいかつ）で生活習慣病（せいかつしゅうかんびょう）を予防（よぼう）する。,Diet helps prevent lifestyle diseases.,,13,26,できる日本語 中級 本冊
発展途上国,はってんとじょうこく,developing countries,,発展途上国（はってんとじょうこく）の教育（きょういく）を支援（しえん）する。,We support education in developing countries.,,13,26,できる日本語 中級 本冊
飢え,うえ,hunger,hunger / starvation,世界（せかい）には飢（う）えに苦（くる）しむ人（ひと）がいる。,There are people in the world suffering from hunger.,,13,26,できる日本語 中級 本冊
肥満,ひまん,obesity,,運動不足（うんどうぶそく）が肥満（ひまん）の原因（げんいん）になる。,Lack of exercise causes obesity.,,13,26,できる日本語 中級 本冊
予防する,よぼうする,to prevent,,手洗（てあら）いで病気（びょうき）を予防（よぼう）する。,Washing hands prevents illness.,,13,26,できる日本語 中級 本冊
貢献する,こうけんする,to contribute,"to contribute / make a contribution (to society, etc.)",この活動（かつどう）は地域（ちいき）に貢献（こうけん）している。,This activity contributes to the community.,,13,26,できる日本語 中級 本冊
一般,いっぱん,ordinary,general / ordinary / the general public,これは一般（いっぱん）の人々（ひとびと）には知（し）られていない。,This isn't known to the general public.,,13,26,できる日本語 中級 本冊
出版する,しゅっぱんする,to publish,,彼女（かのじょ）は初（はじ）めての本（ほん）を出版（しゅっぱん）した。,She published her first book.,,13,26,できる日本語 中級 本冊
役立つ,やくだつ,to be useful,,この辞書（じしょ）は勉強（べんきょう）に役立（やくだ）つ。,This dictionary is useful for studying.,,13,26,できる日本語 中級 本冊
ファミリーレストラン,ファミリーレストラン,family restaurant,,,,,13,26,できる日本語 中級 本冊
協働する,きょうどうする,to cooperate,to collaborate / work jointly,企業（きぎょう）とNPOが協働（きょうどう）して取（と）り組（く）む。,Companies and NPOs tackle it jointly.,,13,26,できる日本語 中級 本冊
企画する,きかくする,to plan,to plan / organize (an event or project),学園祭（がくえんさい）のイベントを企画（きかく）する。,I'm planning an event for the school festival.,,13,26,できる日本語 中級 本冊
カロリーオフ,カロリーオフ,low calorie,,,,,13,26,できる日本語 中級 本冊
場面,ばめん,situation,a scene / situation (a specific moment),大事（だいじ）な場面（ばめん）で力（ちから）を発揮（はっき）する。,He shines at crucial moments.,,13,26,できる日本語 中級 本冊
語る,かたる,to talk,to tell / narrate / speak about (esp. at length),彼（かれ）は将来（しょうらい）の夢（ゆめ）を熱（あつ）く語（かた）った。,He spoke passionately about his future dreams.,,13,26,できる日本語 中級 本冊
食糧,しょくりょう,food (staple food),food supply / provisions (esp. staples),災害（さいがい）に備（そな）えて食糧（しょくりょう）を蓄（たくわ）える。,We stock up on food in case of disaster.,,13,26,できる日本語 中級 本冊
事業,じぎょう,project,business / enterprise / undertaking,彼（かれ）は新（あたら）しい事業（じぎょう）を始（はじ）めた。,He started a new business.,,13,26,できる日本語 中級 本冊
専念する,せんねんする,to devote oneself to,,今（いま）は仕事（しごと）に専念（せんねん）している。,Right now I'm focused entirely on work.,,13,26,できる日本語 中級 本冊
起業する,きぎょうする,to start a business,,彼（かれ）は二十代（にじゅうだい）で起業（きぎょう）した。,He started a company in his twenties.,,13,26,できる日本語 中級 本冊
成果,せいか,"result, accomplishment",result / fruits (of one's effort),長年（ながねん）の努力（どりょく）の成果（せいか）が出（で）た。,Years of effort have borne fruit.,,13,26,できる日本語 中級 本冊
ユニーク（な）,ユニーク,unique,,,,,13,26,できる日本語 中級 本冊
取り組み,とりくみ,initiative,an effort / initiative / undertaking,環境保護（かんきょうほご）の取（と）り組（く）みを進（すす）める。,We push forward with environmental efforts.,,13,26,できる日本語 中級 本冊
各国,かっこく,each country / many countries,,各国（かっこく）の代表（だいひょう）が会議（かいぎ）に集（あつ）まる。,Representatives from each country gather for the meeting.,,13,26,できる日本語 中級 本冊
関心,かんしん,interest,interest / concern (in a topic),若者（わかもの）の政治（せいじ）への関心（かんしん）が低（ひく）い。,Young people have little interest in politics.,,13,26,できる日本語 中級 本冊
寄せる,よせる,to make (to send in),to send in (opinions); to bring near,番組（ばんぐみ）に多（おお）くの意見（いけん）が寄（よ）せられた。,Many opinions were sent in to the program.,,13,26,できる日本語 中級 本冊
アジア,アジア,Asia,,,,,13,26,できる日本語 中級 本冊
未来,みらい,future,the future (esp. distant or abstract),子供（こども）たちの明（あか）るい未来（みらい）を願（ねが）う。,I wish for a bright future for the children.,,13,26,できる日本語 中級 本冊
コスプレ,コスプレ,cosplay (costume play),,,,,13,26,できる日本語 中級 本冊
SNS,SNS,SNS (Social Networking Site/Service),,,,,13,26,できる日本語 中級 本冊
短期,たんき,short-term,short-term,夏休（なつやす）みに短期（たんき）のアルバイトをする。,I do a short-term part-time job over summer break.,,13,26,できる日本語 中級 本冊
主人公,しゅじんこう,main character,the protagonist / main character,この物語（ものがたり）の主人公（しゅじんこう）は少年（しょうねん）だ。,The protagonist of this story is a boy.,,13,26,できる日本語 中級 本冊
ファン,ファン,fan,,,,,13,26,できる日本語 中級 本冊
勇気,ゆうき,courage,,勇気（ゆうき）を出（だ）して質問（しつもん）した。,I worked up the courage to ask a question.,,13,26,できる日本語 中級 本冊
何といっても,なんといっても,after all is said and done,above all / when all's said and done,この店（みせ）は何（なん）といっても値段（ねだん）が安（やす）い。,"Above all, this shop is cheap.",,13,26,できる日本語 中級 本冊
うっかり,うっかり,accidentally,carelessly / absent-mindedly,うっかり大事（だいじ）な約束（やくそく）を忘（わす）れた。,I carelessly forgot an important appointment.,,13,26,できる日本語 中級 本冊
こぼす,こぼす,to spill,,机（つくえ）の上（うえ）にコーヒーをこぼした。,I spilled coffee on the desk.,,13,26,できる日本語 中級 本冊
謝る,あやまる,to apologize,,遅刻（ちこく）したことを先生（せんせい）に謝（あやま）った。,I apologized to the teacher for being late.,,13,26,できる日本語 中級 本冊
ハンサム（な）,ハンサム,handsome,,,,,13,26,できる日本語 中級 本冊
外見,がいけん,outward appearance,outward appearance / looks,人（ひと）を外見（がいけん）で判断（はんだん）してはいけない。,Don't judge people by appearances.,,13,26,できる日本語 中級 本冊
モテる,モテる,to be popular with the opposite sex,,彼（かれ）は昔（むかし）からよくモテる。,He's always been popular with the opposite sex.,,13,26,できる日本語 中級 本冊
交際する,こうさいする,to go out with,to date / go out with / associate with,二人（ふたり）は三年（さんねん）交際（こうさい）している。,The two have been dating for three years.,,13,26,できる日本語 中級 本冊
告白する,こくはくする,to confess one's love,,好（す）きな人（ひと）に勇気（ゆうき）を出（だ）して告白（こくはく）した。,I summoned the courage to confess to the person I like.,,13,26,できる日本語 中級 本冊
シーン,シーン,scene,,,,,13,26,できる日本語 中級 本冊
片思い,かたおもい,unrequited love,unrequited / one-sided love,高校時代（こうこうじだい）はずっと片思（かたおも）いだった。,I had a one-sided crush all through high school.,,13,26,できる日本語 中級 本冊
ところが,ところが,however,however / but (an unexpected turn),出（で）かけようとした。ところが急（きゅう）に雨（あめ）が降（ふ）ってきた。,I was about to head out. But it suddenly started raining.,,13,26,できる日本語 中級 本冊
本心,ほんしん,true feelings,one's true feelings / real intention,なかなか本心（ほんしん）を打（う）ち明（あ）けられない。,I can't easily reveal my true feelings.,,13,26,できる日本語 中級 本冊
本音,ほんね,real intention,one's real opinion (as opposed to 建前),親友（しんゆう）には本音（ほんね）を言（い）える。,I can speak my real mind with my best friend.,,13,26,できる日本語 中級 本冊
展開する,てんかいする,to develop,to unfold / develop (a story or situation),物語（ものがたり）が意外（いがい）な方向（ほうこう）に展開（てんかい）する。,The story develops in an unexpected direction.,,13,26,できる日本語 中級 本冊
連続する,れんぞくする,to continue,to occur in a row / be consecutive,小（ちい）さなミスが連続（れんぞく）して起（お）きた。,A series of small mistakes happened in a row.,,13,26,できる日本語 中級 本冊
どきどき,どきどき,"nail-biting, exciting",(heart) pounding; nervous or excited,発表（はっぴょう）の前（まえ）は胸（むね）がどきどきする。,My heart pounds before a presentation.,,13,26,できる日本語 中級 本冊
平和（な）,へいわ,peace,,誰（だれ）もが平和（へいわ）な世界（せかい）を願（ねが）っている。,Everyone wishes for a peaceful world.,,13,26,できる日本語 中級 本冊
訴える,うったえる,to appeal / plead for,to appeal / plead for; to sue,作品（さくひん）を通（とお）して平和（へいわ）の大切（たいせつ）さを訴（うった）える。,"Through the work, it appeals for the importance of peace.",,13,26,できる日本語 中級 本冊
少女,しょうじょ,young girls,a young girl,一人（ひとり）の少女（しょうじょ）が道（みち）に立（た）っていた。,A young girl was standing in the road.,,13,27,できる日本語 中級 本冊
GPS,GPS,GPS (Global Positioning System),,,,,13,27,できる日本語 中級 本冊
エンターテインメント,エンターテインメント,entertainment,,,,,13,27,できる日本語 中級 本冊
商店,しょうてん,shop,,古（ふる）い商店（しょうてん）が並（なら）ぶ通（とお）り。,a street lined with old shops.,,13,27,できる日本語 中級 本冊
巡る,めぐる,"to go round, to visit (a number of sights)",to go around / tour (a number of places),観光（かんこう）で町（まち）の名所（めいしょ）を巡（めぐ）る。,I tour the town's famous spots while sightseeing.,,13,27,できる日本語 中級 本冊
呼ぶ,よぶ,to attract,,,,（話題を呼ぶ）to attract (to attract attention),13,27,できる日本語 中級 本冊
呼び込む,よびこむ,to attract,to draw in / lure (customers),セールで客（きゃく）を呼（よ）び込（こ）む。,They draw in customers with a sale.,,13,27,できる日本語 中級 本冊
散策する,さんさくする,"to walk, to stroll",,休日（きゅうじつ）に公園（こうえん）を散策（さんさく）する。,On days off I stroll through the park.,,13,27,できる日本語 中級 本冊
～型,～がた,-type,,,,（散策型）-type (walking-type),13,27,できる日本語 中級 本冊
共同する,きょうどうする,to share,to do jointly / cooperate,二（ふた）つの大学（だいがく）が共同（きょうどう）で研究（けんきゅう）する。,Two universities do joint research.,,13,27,できる日本語 中級 本冊
クイズ,クイズ,quiz,,,,,13,27,できる日本語 中級 本冊
書店,しょてん,bookshop,,,,,13,27,できる日本語 中級 本冊
QRコード,QRコード,QR-code,,,,,13,27,できる日本語 中級 本冊
スタートキット,スタートキット,starter kit,,,,,13,27,できる日本語 中級 本冊
購入する,こうにゅうする,to purchase,,ネットでチケットを購入（こうにゅう）する。,I purchase the ticket online.,,13,27,できる日本語 中級 本冊
読み込む,よみこむ,to read,to read in (data); to read thoroughly,アプリがデータを読（よ）み込（こ）んでいる。,The app is loading the data.,,13,27,できる日本語 中級 本冊
活気,かっき,"energy, liveliness",liveliness / vitality / bustle,この商店街（しょうてんがい）は活気（かっき）がある。,This shopping street is full of life.,,13,27,できる日本語 中級 本冊
生の声,なまのこえ,first-hand opinion,"real, unfiltered voices (of people)",商品（しょうひん）について消費者（しょうひしゃ）の生（なま）の声（こえ）を聞（き）く。,We hear consumers' honest views about the product.,,13,27,できる日本語 中級 本冊
ペース,ペース,pace,,,,,13,27,できる日本語 中級 本冊
つなぐ,つなぐ,to link,to connect / link / tie together,この活動（かつどう）は人（ひと）と人（ひと）をつなぐ。,This activity connects people.,,13,27,できる日本語 中級 本冊
試み,こころみ,attempt,an attempt / trial / endeavor,それは面白（おもしろ）い新（あたら）しい試（こころ）みだ。,That's an interesting new attempt.,,13,27,できる日本語 中級 本冊
友情,ゆうじょう,friendship,,二人（ふたり）の友情（ゆうじょう）は今（いま）も続（つづ）いている。,Their friendship continues to this day.,,13,27,できる日本語 中級 本冊
豊富（な）,ほうふ,plenty,abundant / plentiful / rich (in),彼（かれ）は経験（けいけん）が豊富（ほうふ）だ。,He has plenty of experience.,,13,27,できる日本語 中級 本冊
～面,～めん,side,,,,（文化面）side (on the culture side),13,27,できる日本語 中級 本冊
充実する,じゅうじつする,to be rich in,to be full / fulfilling / well-stocked,留学中（りゅうがくちゅう）は毎日（まいにち）が充実（じゅうじつ）していた。,Every day was fulfilling during my study abroad.,,13,27,できる日本語 中級 本冊
開会する,かいかいする,"to open (a conference, contest, etc.)",,式典（しきてん）がまもなく開会（かいかい）する。,The ceremony is about to open.,,13,27,できる日本語 中級 本冊
ファンファーレ,ファンファーレ,fanfare,,,,,13,27,できる日本語 中級 本冊
歓声,かんせい,cheer,a cheer / cheering,ゴールの瞬間（しゅんかん）、歓声（かんせい）が上（あ）がった。,Cheers went up the moment of the goal.,,13,27,できる日本語 中級 本冊
かなり,かなり,fairly,quite / considerably / fairly,ここから駅（えき）までかなり時間（じかん）がかかる。,It takes quite a while from here to the station.,,13,27,できる日本語 中級 本冊
引き受ける,ひきうける,to accept,"to take on / undertake (a task, responsibility)",面倒（めんどう）な仕事（しごと）を引（ひ）き受（う）けた。,I took on a troublesome job.,,13,27,できる日本語 中級 本冊
だいぶ,だいぶ,considerably,quite a lot / considerably (of a change),練習（れんしゅう）して、だいぶ上手（じょうず）になった。,I practiced and got considerably better.,,13,27,できる日本語 中級 本冊
詰まる,つまる,to be full of,to be packed/stuffed; to get clogged,来週（らいしゅう）は予定（よてい）が詰（つ）まっている。,My schedule is packed next week.,,13,27,できる日本語 中級 本冊
どうしても,どうしても,no matter what,by all means; (with neg.) no matter how hard,どうしてもあの大学（だいがく）に入（はい）りたい。,I want to get into that university no matter what.,,13,27,できる日本語 中級 本冊
なんとか,なんとか,some way,somehow / one way or another,締（し）め切（き）りになんとか間（ま）に合（あ）った。,I somehow made the deadline.,,13,27,できる日本語 中級 本冊
憧れる,あこがれる,to aspire to,to long for / admire / look up to,子供（こども）のころ、宇宙飛行士（うちゅうひこうし）に憧（あこが）れた。,As a child I dreamed of being an astronaut.,,13,27,できる日本語 中級 本冊
調理する,ちょうりする,to cook,,新鮮（しんせん）な魚（さかな）をその場（ば）で調理（ちょうり）する。,They cook the fresh fish on the spot.,,13,27,できる日本語 中級 本冊
～師,～し,practitioner of,,,,（調理師）practitioner of (cook/chef),13,27,できる日本語 中級 本冊
信用する,しんようする,to believe,to trust / put faith in,彼（かれ）の言（い）うことは信用（しんよう）できる。,What he says can be trusted.,,13,27,できる日本語 中級 本冊
最大級,さいだいきゅう,one of the largest,of the largest class / top-tier,国内（こくない）最大級（さいだいきゅう）のイベントだ。,It's one of the biggest events in the country.,,13,27,できる日本語 中級 本冊
多数,たすう,many,a large number / the majority,多数（たすう）の意見（いけん）に従（したが）う。,We follow the majority opinion.,,13,27,できる日本語 中級 本冊
出演する,しゅつえんする,"to appear (in) (a TV program, film, etc.)",,彼女（かのじょ）が人気（にんき）番組（ばんぐみ）に出演（しゅつえん）した。,She appeared on a popular show.,,13,27,できる日本語 中級 本冊
タレント,タレント,"star, entertainer","a TV personality / celebrity (Japanese sense, not 'talent/skill')",,,,13,27,できる日本語 中級 本冊
ゲスト,ゲスト,guest,,,,,13,27,できる日本語 中級 本冊
オープニングイベント,オープニングイベント,opening event,,,,,13,27,できる日本語 中級 本冊
熱気に包まれる,ねっきにつつまれる,to be filled with excitement,to be enveloped in excitement/heat,会場（かいじょう）は開演前（かいえんまえ）から熱気（ねっき）に包（つつ）まれた。,The venue was buzzing with excitement before the show even began.,,13,27,できる日本語 中級 本冊
いよいよ,いよいよ,at any moment,finally / at last; (it's) imminent,いよいよ決勝戦（けっしょうせん）が始（はじ）まる。,At last the final is about to begin.,,13,27,できる日本語 中級 本冊
トレンド,トレンド,trend,,,,,13,27,できる日本語 中級 本冊
盛り上がる,もりあがる,to pick up steam,to liven up / get exciting / swell,ライブで会場（かいじょう）が大（おお）いに盛（も）り上（あ）がった。,The venue got really lively at the concert.,,13,27,できる日本語 中級 本冊
公開する,こうかいする,to release,to release (a film); to make public,その映画（えいが）は来月（らいげつ）公開（こうかい）される。,That film will be released next month.,,13,27,できる日本語 中級 本冊
試写会,ししゃかい,preview,,映画（えいが）の試写会（ししゃかい）に招待（しょうたい）された。,I was invited to the film's preview screening.,,13,27,できる日本語 中級 本冊
キャンペーン,キャンペーン,special offer,,,,,13,27,できる日本語 中級 本冊
現地,げんち,on-site,the local site / on location / the actual place,記者（きしゃ）が現地（げんち）から中継（ちゅうけい）する。,A reporter broadcasts live from the scene.,,13,27,できる日本語 中級 本冊
リポートする,リポートする,to report,,,,,13,27,できる日本語 中級 本冊
しぐさ,しぐさ,body language,a gesture / mannerism (small physical movement),彼女（かのじょ）のしぐさはとても上品（じょうひん）だ。,Her mannerisms are very refined.,,14,28,できる日本語 中級 本冊
混み合う,こみあう,to be crowded,,朝（あさ）の電車（でんしゃ）はいつも混（こ）み合（あ）う。,Morning trains are always crowded.,,14,28,できる日本語 中級 本冊
立ち止まる,たちどまる,to come to a stop,to stop walking / pause / halt,ふと立（た）ち止（ど）まって空（そら）を見上（みあ）げた。,I paused and looked up at the sky.,,14,28,できる日本語 中級 本冊
浪費する,ろうひする,"to waste (money, time, energy)",,だらだらして時間（じかん）を浪費（ろうひ）した。,I idled around and wasted time.,,14,28,できる日本語 中級 本冊
知恵,ちえ,knowledge,wisdom / ingenuity (gloss 'knowledge' is off — that's 知識),昔（むかし）の人（ひと）の生活（せいかつ）の知恵（ちえ）。,the practical wisdom of people long ago.,,14,28,できる日本語 中級 本冊
トラブル,トラブル,trouble,,,,,14,28,できる日本語 中級 本冊
すれ違う,すれちがう,to pass by,to pass each other (opposite directions); to miss each other,道（みち）で昔（むかし）の友達（ともだち）とすれ違（ちが）った。,I passed an old friend on the street.,,14,28,できる日本語 中級 本冊
一瞬,いっしゅん,a moment,an instant / a split second,一瞬（いっしゅん）で景色（けしき）が変（か）わった。,The scenery changed in an instant.,,14,28,できる日本語 中級 本冊
傾ける,かたむける,to incline,to tilt / lean / pour,グラスを傾（かたむ）けてワインを注（そそ）ぐ。,I tilt the glass and pour the wine.,,14,28,できる日本語 中級 本冊
しずく,しずく,drip,a drop / droplet (of liquid),傘（かさ）から雨（あめ）のしずくが落（お）ちる。,Raindrops drip from the umbrella.,,14,28,できる日本語 中級 本冊
かかる,かかる,to fall on,,,,（しずくがかかる）to fall on (a drip falls on...),14,28,できる日本語 中級 本冊
端,はし,side,the edge / end / side,道（みち）の端（はし）を歩（ある）く。,I walk along the edge of the road.,,14,28,できる日本語 中級 本冊
幅,はば,width,,この道（みち）は幅（はば）が狭（せま）い。,This road is narrow in width.,,14,28,できる日本語 中級 本冊
～対～,～たい～,to (ratio),,,,（３対７）to (3 to 7 ratio),14,28,できる日本語 中級 本冊
